,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,bound sulfur dioxide,free sulfur dioxide,pH,sulphates,alcohol
2419,6.6,0.25,0.51,8.0,0.047,128.0,61.0,3.22,0.49,9.2
1692,7.6,0.16,0.41,1.9,0.047,124.0,27.0,3.2,0.53,10.1
1031,9.2,0.28,0.41,1.0,0.042,45.0,14.0,2.96,0.25,10.5
4141,7.3,0.17,0.36,8.2,0.028,67.0,44.0,3.14,0.41,12.4
2837,6.4,0.25,0.37,4.5,0.039,106.0,41.0,3.18,0.4,11.1
690,6.7,0.19,0.23,6.2,0.047,81.0,36.0,3.34,0.43,9.6
3028,6.0,0.17,0.29,9.7,0.044,65.0,33.0,3.12,0.36,9.2
2214,7.0,0.16,0.32,1.1,0.032,51.0,29.0,3.23,0.36,12.1
4352,6.5,0.23,0.36,16.3,0.038,90.0,43.0,3.26,0.41,8.8
473,5.9,0.37,0.1,1.6,0.057,89.0,39.0,3.24,0.48,10.1
2434,6.7,0.19,0.39,1.0,0.032,57.0,14.0,3.31,0.38,13.0
3677,7.0,0.31,0.35,1.6,0.063,106.0,13.0,3.22,0.5,10.7
5450,9.4,0.29,0.55,2.2,0.05,102.0,17.0,3.12,0.69,10.3
2135,6.3,0.27,0.37,7.9,0.047,157.0,58.0,3.19,0.48,9.5
2958,6.9,0.28,0.24,2.1,0.034,72.0,49.0,2.98,0.43,13.2
4492,7.4,0.33,0.26,15.6,0.049,143.0,67.0,3.06,0.68,9.5
5962,6.0,0.32,0.12,5.9,0.041,156.0,34.0,3.16,0.72,10.0
1436,7.1,0.16,0.25,1.3,0.034,95.0,28.0,3.27,0.55,11.4
5396,8.1,0.2,0.3,1.3,0.036,42.0,7.0,2.99,0.73,10.3
4969,6.2,0.23,0.35,0.7,0.051,87.0,24.0,3.37,0.43,11.0
1211,6.9,0.3,0.33,4.1,0.035,129.0,26.0,3.25,0.79,12.3
2131,6.6,0.24,0.3,13.0,0.052,125.0,18.0,3.37,0.49,9.4
5457,5.7,0.245,0.33,1.1,0.049,122.0,28.0,3.13,0.42,9.3
1542,7.5,0.33,0.39,12.4,0.065,90.0,29.0,3.16,0.39,9.4
3945,6.3,0.3,0.19,7.7,0.049,137.0,47.0,3.22,0.48,9.5
3216,5.8,0.275,0.3,5.4,0.043,108.0,41.0,3.33,0.42,10.8
1894,8.9,0.24,0.33,15.75,0.035,116.0,16.0,3.0,0.37,12.1
4594,7.3,0.49,0.32,5.2,0.043,86.0,18.0,3.24,0.45,10.7
793,6.5,0.18,0.33,8.0,0.051,115.0,16.0,3.28,0.44,8.7
2685,6.3,0.28,0.47,11.2,0.04,122.0,61.0,3.12,0.51,9.5
944,7.0,0.15,0.38,2.2,0.047,63.0,33.0,3.13,0.39,10.4
3575,6.8,0.3,0.27,11.6,0.028,75.0,22.0,2.96,0.38,11.7
1051,7.9,0.44,0.37,5.85,0.033,66.0,27.0,3.16,0.54,12.6
811,6.1,0.19,0.25,4.0,0.023,89.0,23.0,3.37,0.51,11.6
1071,7.3,0.25,0.41,1.8,0.037,113.0,52.0,3.29,0.39,12.2
1460,6.6,0.34,0.27,6.2,0.059,113.0,23.0,3.3,0.49,10.1
4309,6.0,0.52,0.33,7.7,0.046,95.0,24.0,3.04,0.38,11.0
2628,8.4,0.22,0.3,8.9,0.024,101.0,17.0,2.99,0.34,10.5
439,7.9,0.19,0.26,2.1,0.039,135.0,8.0,3.05,0.74,9.8
3083,7.5,0.33,0.28,4.9,0.042,134.0,21.0,3.36,0.57,10.9
4962,7.3,0.24,0.39,17.95,0.057,104.0,45.0,3.21,0.36,8.6
4366,9.1,0.59,0.38,1.6,0.066,148.0,34.0,3.23,0.38,8.5
3674,7.4,0.16,0.3,13.7,0.056,135.0,33.0,2.9,0.44,8.7
5550,6.1,0.38,0.47,1.4,0.051,151.0,59.0,3.24,0.5,9.6
5045,7.6,0.26,0.47,1.6,0.068,50.0,5.0,3.1,0.45,9.6
2711,6.5,0.23,0.39,1.9,0.036,57.0,41.0,3.19,0.43,11.9
4020,5.8,0.12,0.21,1.3,0.056,86.0,35.0,3.32,0.33,11.4
1868,7.7,0.24,0.31,1.3,0.047,73.0,33.0,3.22,0.55,10.8
4753,6.9,0.21,0.49,1.4,0.041,149.0,15.0,3.25,0.63,11.0
5405,7.4,0.32,0.27,12.9,0.04,161.0,60.0,3.05,0.66,9.4
4808,6.8,0.35,0.53,10.1,0.053,114.0,37.0,3.07,0.4,9.4
2601,6.8,0.18,0.28,9.8,0.039,84.0,29.0,3.11,0.45,10.9
1582,8.3,0.27,0.39,2.4,0.058,91.0,16.0,3.28,0.59,10.3
685,6.2,0.3,0.17,2.8,0.04,101.0,24.0,3.01,0.46,9.0
1551,8.2,0.42,0.29,4.1,0.03,69.0,31.0,3.0,0.32,12.8
2516,6.1,0.37,0.2,7.6,0.031,121.0,49.0,3.22,0.48,9.5
3918,6.2,0.22,0.28,2.2,0.04,101.0,24.0,3.19,0.48,10.5
1941,7.1,0.14,0.35,1.4,0.039,104.0,24.0,2.97,0.68,10.4
2775,5.5,0.12,0.33,1.0,0.038,108.0,23.0,3.25,0.45,9.8
1899,6.9,0.21,0.33,1.4,0.056,101.0,35.0,3.63,0.78,10.3
2375,7.3,0.26,0.33,11.8,0.057,79.0,48.0,3.1,0.55,10.0
5614,6.8,0.24,0.34,4.6,0.032,98.0,37.0,3.2,0.39,10.6
5983,6.2,0.32,0.12,4.8,0.054,91.0,6.0,3.16,0.5,9.3
5157,8.6,0.23,0.25,11.3,0.031,83.0,13.0,3.11,0.4,10.8
4989,6.6,0.24,0.22,12.3,0.051,111.0,35.0,3.1,0.67,9.4
3285,7.0,0.15,0.28,14.7,0.051,120.0,29.0,2.96,0.39,9.0
523,7.0,0.32,0.24,6.2,0.048,197.0,31.0,3.23,0.62,9.4
1021,6.8,0.18,0.37,1.5,0.027,56.0,37.0,3.3,0.45,10.8
1575,6.1,0.34,0.46,4.7,0.029,73.0,21.0,3.29,0.62,12.3
1293,7.3,0.22,0.49,9.9,0.031,113.0,48.0,3.01,0.28,11.2
4054,6.2,0.2,0.32,2.8,0.05,109.0,17.0,3.18,0.55,9.4
5984,6.2,0.3,0.17,2.8,0.04,101.0,24.0,3.01,0.46,9.0
2798,6.6,0.29,0.39,6.75,0.031,76.0,22.0,3.15,0.8,12.9
5515,7.2,0.31,0.35,7.2,0.046,133.0,45.0,3.14,0.53,9.7
4332,6.6,0.34,0.4,8.1,0.046,102.0,68.0,3.15,0.5,9.55
2649,7.1,0.17,0.43,1.3,0.023,99.0,33.0,3.11,0.56,11.7
5077,8.9,0.34,0.32,1.3,0.041,176.0,12.0,3.17,0.49,9.5
1544,8.8,0.2,0.43,15.0,0.053,124.0,60.0,3.28,0.79,8.8
649,9.1,0.27,0.45,10.6,0.035,96.0,28.0,3.2,0.46,10.4
3408,6.0,0.28,0.24,17.8,0.047,69.0,42.0,3.1,0.45,8.9
1842,7.0,0.24,0.34,3.0,0.035,66.0,36.0,3.18,0.43,12.2
4214,6.3,0.23,0.5,10.4,0.043,71.0,61.0,2.86,0.46,9.1
480,6.1,0.26,0.51,2.2,0.05,93.0,61.0,3.08,0.6,9.8
2665,6.8,0.28,0.43,7.6,0.03,80.0,30.0,3.08,0.59,12.5
4983,6.7,0.41,0.34,9.2,0.049,121.0,29.0,3.22,0.51,9.1
2720,7.2,0.17,0.37,6.9,0.059,81.0,47.0,3.08,0.46,11.0
5392,7.4,0.22,0.33,2.0,0.045,70.0,31.0,3.42,0.55,11.4
3832,7.3,0.19,0.27,13.9,0.057,110.0,45.0,2.94,0.41,8.8
4205,6.0,0.16,0.36,1.6,0.042,48.0,13.0,3.22,0.54,10.8
4488,6.2,0.33,0.29,1.3,0.042,112.0,26.0,3.77,0.64,9.5
5672,8.6,0.27,0.46,6.1,0.032,28.0,13.0,2.89,0.34,10.9
3715,6.1,0.25,0.3,1.2,0.036,65.0,42.0,3.34,0.56,10.8
1659,7.2,0.19,0.31,1.4,0.046,98.0,37.0,3.34,0.57,10.2
2120,6.0,0.26,0.15,1.2,0.053,89.0,35.0,3.08,0.46,8.8
5493,7.0,0.24,0.3,6.7,0.039,88.0,37.0,3.2,0.39,9.9
1166,7.0,0.14,0.41,0.9,0.037,73.0,22.0,3.25,0.43,10.9
2043,7.2,0.2,0.3,2.0,0.039,145.0,43.0,3.3,0.41,12.0
1254,6.5,0.24,0.24,1.6,0.046,45.0,15.0,3.19,0.39,9.8
4439,7.0,0.12,0.28,6.3,0.057,86.0,17.0,3.5,0.44,9.6
696,7.1,0.16,0.36,1.2,0.043,69.0,21.0,3.16,0.42,11.0
4148,4.9,0.335,0.14,1.3,0.036,99.0,69.0,3.47,0.46,10.46666667
4851,8.0,0.28,0.42,7.1,0.045,128.0,41.0,3.17,0.43,10.6
311,6.9,0.33,0.21,1.0,0.053,109.0,39.0,3.12,0.45,9.4
5249,6.5,0.32,0.12,11.5,0.033,130.0,35.0,3.22,0.32,9.0
2917,6.5,0.22,0.28,3.7,0.059,122.0,29.0,3.23,0.41,12.1
1676,7.4,0.21,0.3,8.1,0.047,101.0,13.0,3.12,0.35,10.5
5616,7.0,0.35,0.31,1.8,0.069,147.0,15.0,3.18,0.47,9.4
134,8.4,0.27,0.46,8.7,0.048,158.0,39.0,3.14,0.59,9.6
981,7.6,0.33,0.36,2.1,0.034,146.0,26.0,3.42,0.48,10.5
952,9.8,0.36,0.45,1.6,0.042,113.0,11.0,2.93,0.46,10.8
4016,6.4,0.37,0.19,3.5,0.068,83.0,18.0,3.03,0.38,9.0
3269,5.4,0.255,0.33,1.2,0.051,93.0,29.0,3.37,0.66,11.3
594,7.2,0.18,0.45,4.4,0.046,109.0,57.0,3.13,0.62,11.2
517,7.8,0.26,0.27,1.9,0.051,143.0,52.0,3.23,0.5,10.9
2091,7.4,0.35,0.2,13.9,0.054,166.0,63.0,3.11,0.5,8.9
2462,5.8,0.2,0.34,1.0,0.035,46.0,40.0,3.5,0.42,11.7
4741,7.2,0.27,0.37,5.4,0.026,87.0,27.0,3.13,0.84,12.7
418,7.8,0.19,0.26,8.9,0.039,140.0,42.0,3.18,0.46,9.9
2729,6.6,0.39,0.39,11.9,0.057,170.0,51.0,3.26,0.51,8.9
774,7.0,0.11,0.32,4.6,0.057,85.0,59.0,3.55,0.44,9.4
2768,7.8,0.21,0.34,11.9,0.039,85.0,55.0,3.02,0.31,10.3
1639,7.6,0.13,0.34,9.3,0.062,86.0,40.0,3.21,0.39,9.6
717,6.9,0.19,0.35,1.7,0.036,68.0,33.0,3.21,0.54,10.8
1445,7.0,0.24,0.3,4.2,0.04,172.0,41.0,3.28,0.49,11.8
2925,6.2,0.3,0.31,1.2,0.048,106.0,19.0,3.32,0.54,12.6
5528,6.9,0.3,0.21,15.7,0.056,110.0,49.0,3.11,0.48,9.0
4320,5.0,0.2,0.4,1.9,0.015,78.0,20.0,3.37,0.55,12.05
1240,6.9,0.19,0.49,6.6,0.036,123.0,49.0,3.2,0.27,11.5
2550,5.1,0.29,0.28,8.3,0.026,80.0,27.0,3.36,0.37,11.0
1557,7.4,0.29,0.31,1.7,0.035,87.0,23.0,3.07,0.38,10.9
2014,7.7,0.29,0.29,4.8,0.06,129.0,27.0,3.49,0.59,10.3
3457,8.7,0.31,0.21,5.6,0.039,39.0,28.0,2.96,0.52,11.0
3908,5.8,0.3,0.38,4.9,0.039,64.0,22.0,3.23,0.58,13.1
5707,6.5,0.22,0.25,17.1,0.05,94.0,44.0,3.3,0.37,8.8
5888,6.2,0.33,0.14,4.8,0.052,101.0,27.0,3.21,0.48,9.4
3640,6.7,0.31,0.34,6.8,0.059,164.0,51.0,3.33,0.56,10.3
2277,7.6,0.23,0.4,5.2,0.066,77.0,14.0,3.17,0.8,9.7
1492,7.4,0.18,0.3,10.4,0.045,130.0,44.0,3.11,0.57,9.7
3330,6.6,0.26,0.52,8.2,0.047,139.0,52.0,3.16,0.47,9.5
4446,7.8,0.13,0.3,1.8,0.04,136.0,43.0,3.43,0.41,9.0
558,7.8,0.28,0.22,1.4,0.056,106.0,24.0,3.28,0.48,9.5
3745,6.4,0.29,0.18,15.0,0.04,95.0,21.0,3.14,0.5,9.2
1396,7.3,0.19,0.49,15.55,0.058,84.0,50.0,3.42,0.36,9.1
4234,6.8,0.27,0.3,13.0,0.047,91.0,69.0,3.16,0.5,9.6
399,6.5,0.38,0.34,3.4,0.036,166.0,34.0,3.14,0.76,10.0
1533,6.6,0.37,0.24,2.0,0.064,97.0,23.0,3.32,0.54,9.4
3396,6.0,0.31,0.38,4.8,0.04,60.0,41.0,3.24,0.56,13.1
3094,6.6,0.29,0.29,1.8,0.036,64.0,38.0,3.08,0.42,13.7
1915,6.9,0.25,0.35,9.2,0.034,108.0,42.0,3.21,0.36,11.5
5989,6.1,0.27,0.25,1.8,0.041,100.0,9.0,3.08,0.54,9.0
2039,6.1,0.16,0.29,6.0,0.03,115.0,29.0,3.68,0.46,10.7
2015,7.2,0.34,0.3,8.4,0.051,127.0,40.0,3.48,0.62,9.7
4296,5.1,0.3,0.3,2.3,0.048,110.0,40.0,3.29,0.46,12.2
3886,7.3,0.22,0.37,15.5,0.048,133.0,70.0,3.25,0.77,9.4
2979,6.3,0.19,0.29,5.5,0.042,145.0,44.0,3.19,0.47,10.3
211,6.3,0.35,0.3,5.7,0.035,89.0,8.0,3.27,0.41,11.0
3224,6.8,0.21,0.26,11.7,0.038,91.0,61.0,3.02,0.56,10.5
5145,8.0,0.37,0.31,4.7,0.038,124.0,3.0,2.9,0.72,12.1
972,7.2,0.25,0.32,1.5,0.047,105.0,27.0,3.26,0.44,10.5
1855,8.4,0.22,0.28,18.8,0.028,75.0,55.0,2.96,0.35,11.6
5974,6.9,0.3,0.3,1.3,0.053,162.0,24.0,3.29,0.54,9.9
2169,6.5,0.18,0.33,1.4,0.029,103.0,35.0,3.36,0.6,11.5
1942,7.6,0.48,0.28,10.4,0.049,148.0,57.0,3.24,0.45,9.3
4133,6.0,0.29,0.41,10.8,0.048,94.0,55.0,3.09,0.59,11.0
2475,6.5,0.15,0.32,1.3,0.036,57.0,19.0,3.18,0.41,12.3
2098,7.6,0.285,0.32,14.6,0.063,169.0,32.0,3.0,0.45,9.2
4894,6.7,0.34,0.31,16.4,0.051,126.0,20.0,3.06,0.54,9.1
4278,6.0,0.34,0.29,6.1,0.046,105.0,29.0,3.48,0.57,10.7
4078,5.8,0.42,0.3,2.2,0.035,103.0,26.0,3.32,0.47,12.9
2589,6.8,0.18,0.28,9.8,0.039,84.0,29.0,3.11,0.45,10.9
4379,7.1,0.47,0.24,6.0,0.044,66.0,11.0,3.21,0.56,9.7
682,6.2,0.3,0.17,2.8,0.04,101.0,24.0,3.01,0.46,9.0
590,6.4,0.33,0.28,1.1,0.038,80.0,30.0,3.12,0.42,10.5
4779,6.6,0.32,0.33,2.5,0.052,170.0,40.0,3.15,0.6,10.0
3853,5.9,0.28,0.34,3.6,0.04,144.0,50.0,3.31,0.52,11.6
2218,6.5,0.27,0.4,10.0,0.039,153.0,74.0,3.18,0.5,9.4
2069,7.9,0.44,0.26,4.45,0.033,77.0,23.0,3.17,0.52,12.7
989,6.0,0.24,0.32,6.3,0.03,95.0,34.0,3.52,0.41,10.4
2373,7.0,0.34,0.3,1.8,0.045,98.0,44.0,2.99,0.45,10.8
5204,7.9,0.36,0.53,12.9,0.049,76.0,63.0,2.94,0.45,9.1
2874,6.8,0.21,0.31,2.9,0.046,81.0,40.0,3.07,0.65,10.9
5711,7.0,0.31,0.39,7.5,0.055,176.0,42.0,3.37,0.54,10.3
5483,6.5,0.26,0.5,8.0,0.051,151.0,46.0,3.18,0.47,9.5
4553,6.6,0.28,0.41,7.0,0.046,135.0,59.0,3.14,0.48,9.4
3453,6.6,0.32,0.47,15.6,0.063,146.0,27.0,3.18,0.56,9.0
3302,7.8,0.19,0.32,7.4,0.015,77.0,47.0,2.99,0.39,11.0
1852,6.0,0.33,0.38,9.7,0.04,95.0,29.0,3.47,0.48,11.0
4362,7.6,0.31,0.23,12.7,0.054,119.0,20.0,3.16,0.5,9.7
371,6.9,0.2,0.37,6.2,0.027,73.0,24.0,3.38,0.49,12.2
4351,6.8,0.26,0.24,7.8,0.052,160.0,54.0,3.13,0.47,8.9
3819,6.4,0.26,0.35,7.7,0.056,146.0,45.0,3.16,0.5,9.5
4354,8.5,0.17,0.31,1.0,0.024,78.0,13.0,2.79,0.37,10.1
504,7.0,0.29,0.37,4.9,0.034,101.0,26.0,3.17,0.44,10.8
698,7.4,0.17,0.4,5.5,0.037,127.0,34.0,3.05,0.62,11.5
5576,6.9,0.3,0.21,7.2,0.045,136.0,54.0,3.22,0.48,9.4
3016,6.5,0.24,0.28,1.1,0.034,57.0,26.0,3.25,0.33,12.3
2060,6.5,0.19,0.27,4.9,0.037,88.0,13.0,3.17,0.41,11.8
5253,7.2,0.24,0.34,1.1,0.045,61.0,3.0,3.23,0.51,11.4
1922,7.1,0.28,0.19,7.8,0.04,136.0,48.0,3.16,0.5,9.4
5040,8.0,0.55,0.17,8.2,0.04,47.0,13.0,3.09,0.3,9.5
2002,6.9,0.35,0.55,11.95,0.038,89.0,22.0,3.11,0.29,9.7
1135,6.8,0.15,0.32,8.8,0.058,86.0,24.0,3.4,0.4,8.8
4885,7.6,0.48,0.31,9.4,0.046,188.0,6.0,3.07,0.61,9.4
2489,5.7,0.37,0.3,1.1,0.029,64.0,24.0,3.18,0.39,11.7
2713,5.9,0.19,0.37,0.8,0.027,18.0,3.0,3.09,0.31,10.8
2718,6.5,0.24,0.39,17.3,0.052,104.0,22.0,3.11,0.47,9.2
3388,5.9,0.12,0.27,4.8,0.03,70.0,40.0,3.55,0.68,12.1
1463,6.8,0.27,0.32,1.5,0.044,123.0,19.0,3.1,0.43,9.9
4757,7.3,0.34,0.22,1.4,0.044,133.0,43.0,3.14,0.46,9.9
5529,6.4,0.38,0.24,7.2,0.047,110.0,41.0,3.11,0.6,9.2
3229,6.8,0.3,0.29,6.2,0.025,66.0,29.0,3.03,0.32,12.9
2255,6.5,0.18,0.41,14.2,0.039,82.0,47.0,3.28,0.72,10.3
2057,6.3,0.695,0.55,12.9,0.056,194.0,58.0,3.29,0.49,8.7
5362,6.2,0.23,0.38,1.6,0.044,101.0,12.0,3.3,0.73,11.4
1030,8.0,0.23,0.46,1.5,0.03,95.0,30.0,3.23,0.47,12.5
5806,6.8,0.28,0.4,22.0,0.048,119.0,48.0,2.93,0.5,8.7
28,7.4,0.25,0.36,2.05,0.05,69.0,31.0,3.19,0.44,10.8
4431,7.4,0.32,0.27,1.4,0.049,135.0,38.0,3.03,0.52,9.3
1437,9.0,0.43,0.3,1.5,0.05,168.0,7.0,3.11,0.45,9.7
3368,7.0,0.15,0.29,16.4,0.058,65.0,45.0,3.15,0.37,9.7
812,5.9,0.26,0.21,12.5,0.034,116.0,36.0,3.28,0.43,9.5
5171,6.5,0.35,0.31,10.2,0.069,112.0,58.0,3.18,0.49,9.4
767,6.2,0.33,0.19,5.6,0.042,121.0,22.0,3.15,0.63,9.9
2334,6.5,0.23,0.36,16.3,0.038,90.0,43.0,3.26,0.41,8.8
636,6.8,0.22,0.37,15.2,0.051,110.0,68.0,3.4,0.85,9.3
2566,5.8,0.19,0.24,1.3,0.044,90.0,38.0,3.77,0.6,10.6
250,7.3,0.41,0.24,6.8,0.057,122.0,41.0,3.2,0.41,9.9
1086,8.4,0.35,0.56,13.8,0.048,135.0,55.0,3.07,0.58,9.4
5937,6.8,0.28,0.39,1.4,0.036,100.0,15.0,3.27,0.72,11.7
562,6.4,0.24,0.5,11.6,0.047,151.0,60.0,3.18,0.57,9.3
3707,8.1,0.27,0.33,1.3,0.045,74.0,26.0,2.98,0.44,12.4
5594,9.4,0.42,0.32,6.5,0.027,147.0,20.0,3.08,0.43,10.6
4256,5.7,0.33,0.32,1.4,0.043,65.0,28.0,3.31,0.5,12.3
836,7.0,0.24,0.18,1.3,0.046,53.0,9.0,3.38,0.47,10.1
5464,7.8,0.25,0.37,1.0,0.043,70.0,10.0,3.08,0.38,11.4
4584,6.9,0.26,0.49,1.6,0.058,127.0,39.0,3.65,0.52,9.4
5008,6.0,0.28,0.29,19.3,0.051,138.0,36.0,3.14,0.5,9.0
4501,7.0,0.29,0.54,10.7,0.046,175.0,59.0,3.05,0.61,9.5
1968,7.4,0.33,0.26,15.6,0.049,143.0,67.0,3.06,0.68,9.5
1741,6.7,0.3,0.45,10.6,0.032,156.0,56.0,3.22,0.59,9.5
2477,5.6,0.19,0.46,1.1,0.032,82.0,33.0,3.36,0.5,10.4
1263,7.6,0.51,0.24,1.2,0.04,94.0,10.0,3.05,0.29,10.8
3310,6.9,0.4,0.17,12.9,0.033,127.0,59.0,3.08,0.49,9.4
4897,6.8,0.26,0.24,7.8,0.052,160.0,54.0,3.13,0.47,8.9
2499,8.4,0.36,0.36,11.1,0.032,111.0,21.0,2.95,0.39,13.0
1252,6.9,0.19,0.49,6.6,0.036,123.0,49.0,3.2,0.27,11.5
1817,8.0,0.16,0.36,1.5,0.033,108.0,14.0,3.2,0.39,10.3
94,7.3,0.32,0.48,13.3,0.06,139.0,57.0,3.04,0.5,9.2
692,7.0,0.21,0.37,7.2,0.042,131.0,36.0,3.26,0.56,9.8
2192,6.7,0.5,0.38,7.5,0.046,149.0,26.0,3.32,0.54,9.6
5643,6.2,0.3,0.32,1.3,0.054,156.0,27.0,3.3,0.43,10.1
5860,6.9,0.35,0.55,11.95,0.038,89.0,22.0,3.11,0.29,9.7
3611,6.4,0.14,0.28,7.9,0.057,61.0,21.0,3.26,0.36,10.0
5780,6.3,0.19,0.33,10.1,0.063,70.0,63.0,2.86,0.41,9.1
748,5.8,0.26,0.18,1.2,0.031,74.0,40.0,3.42,0.4,11.0
232,6.8,0.44,0.37,5.1,0.047,155.0,46.0,3.08,0.65,10.5
4373,6.5,0.32,0.12,11.5,0.033,130.0,35.0,3.22,0.32,9.0
2586,6.9,0.3,0.3,10.55,0.037,24.0,4.0,3.07,0.32,12.7
2760,5.6,0.28,0.4,6.1,0.034,82.0,36.0,3.21,0.43,12.1
4657,6.8,0.36,0.32,1.6,0.039,114.0,10.0,3.3,0.67,9.6
317,6.4,0.31,0.28,1.5,0.037,107.0,12.0,3.32,0.51,10.4
1157,6.3,0.29,0.4,6.5,0.039,124.0,43.0,3.15,0.44,9.3
4226,6.6,0.17,0.26,7.4,0.052,83.0,45.0,3.16,0.37,10.0
1245,8.3,0.21,0.49,19.8,0.054,181.0,50.0,2.99,0.54,9.2
956,6.4,0.125,0.29,5.85,0.042,75.0,24.0,3.23,0.32,12.0
1223,6.1,0.22,0.49,1.5,0.051,69.0,18.0,3.3,0.46,9.6
4812,7.4,0.27,0.26,11.8,0.053,118.0,55.0,3.11,0.6,9.8
2342,6.4,0.21,0.44,7.4,0.045,135.0,47.0,3.24,0.46,9.1
1752,6.8,0.21,0.27,18.15,0.042,105.0,41.0,3.3,0.36,8.7
3855,7.2,0.34,0.2,5.8,0.062,151.0,52.0,3.17,0.44,9.8
3468,6.2,0.27,0.32,6.3,0.048,112.0,47.0,3.21,0.6,11.0
2027,7.6,0.48,0.33,7.0,0.024,116.0,14.0,3.25,0.45,12.5
113,8.5,0.21,0.41,4.3,0.036,75.0,24.0,3.18,0.53,9.7
3043,6.9,0.29,0.41,7.8,0.046,119.0,52.0,3.12,0.51,9.6
5687,6.7,0.54,0.27,7.1,0.049,170.0,8.0,3.16,0.38,9.4
5062,7.5,0.23,0.3,1.2,0.03,53.0,27.0,3.05,0.68,10.5
3664,7.4,0.26,0.32,3.7,0.032,164.0,29.0,3.1,0.67,12.5
3174,6.7,0.35,0.48,8.8,0.056,132.0,35.0,3.04,0.47,9.4
1503,6.4,0.17,0.27,1.5,0.037,78.0,20.0,3.46,0.42,11.0
509,6.3,0.26,0.49,1.5,0.052,100.0,34.0,2.99,0.61,9.8
3738,7.5,0.35,0.37,2.5,0.066,60.0,29.0,3.14,0.42,12.7
4013,5.8,0.13,0.22,12.7,0.058,159.0,24.0,3.32,0.42,11.7
490,6.0,0.38,0.26,6.0,0.034,92.0,42.0,3.38,0.38,12.3
408,5.9,0.36,0.41,1.3,0.047,59.0,45.0,3.33,0.51,10.6
4032,5.8,0.28,0.3,3.9,0.026,69.0,36.0,3.26,0.58,12.75
3613,6.4,0.5,0.2,2.4,0.059,93.0,19.0,3.18,0.4,9.2
5641,6.5,0.25,0.45,7.8,0.048,136.0,52.0,3.2,0.53,9.1
4294,5.6,0.34,0.25,2.5,0.046,135.0,47.0,3.21,0.4,11.3
3768,5.8,0.2,0.16,1.4,0.042,55.0,44.0,3.23,0.37,12.2
5188,5.7,0.245,0.33,1.1,0.049,122.0,28.0,3.13,0.42,9.3
744,7.3,0.26,0.31,1.6,0.04,134.0,39.0,3.19,0.51,11.4
4199,6.8,0.32,0.43,1.6,0.05,61.0,4.0,3.27,0.47,10.7
2351,7.6,0.4,0.27,5.2,0.03,69.0,32.0,3.22,0.62,12.3
5321,8.0,0.25,0.13,17.2,0.036,170.0,49.0,2.96,0.46,9.7
3948,6.6,0.18,0.26,17.3,0.051,132.0,17.0,3.0,0.43,9.4
3411,6.0,0.28,0.24,17.8,0.047,69.0,42.0,3.1,0.45,8.9
1633,7.2,0.36,0.36,5.7,0.038,72.0,26.0,2.93,0.59,12.5
5532,7.1,0.31,0.17,1.0,0.042,123.0,21.0,3.13,0.4,9.6
5481,6.1,0.16,0.27,12.6,0.064,99.0,63.0,3.66,0.43,8.9
5878,6.8,0.24,0.49,19.3,0.057,192.0,55.0,3.0,0.56,8.7
3662,5.8,0.24,0.28,1.4,0.038,36.0,40.0,3.1,0.29,13.9
1985,7.0,0.36,0.3,5.0,0.04,103.0,40.0,3.33,0.42,12.2
343,5.8,0.28,0.34,4.0,0.031,59.0,40.0,3.39,0.39,12.8
4359,7.1,0.25,0.28,1.6,0.052,123.0,46.0,3.05,0.41,10.5
331,6.5,0.36,0.32,1.1,0.031,53.0,13.0,3.1,0.46,10.6
2920,6.9,0.38,0.29,13.65,0.048,137.0,52.0,3.0,0.6,9.5
5288,8.4,0.31,0.31,0.95,0.021,96.0,52.0,2.93,0.32,11.5
3957,6.7,0.32,0.32,1.7,0.031,83.0,31.0,3.12,0.35,12.5
2640,6.5,0.23,0.45,2.1,0.027,61.0,43.0,3.02,0.52,11.3
4068,6.4,0.23,0.37,7.9,0.05,90.0,60.0,2.86,0.49,9.3
5618,8.0,0.29,0.49,11.7,0.035,91.0,40.0,3.14,0.34,10.8
2555,6.1,0.27,0.25,1.8,0.041,100.0,9.0,3.08,0.54,9.0
3991,7.8,0.27,0.33,2.4,0.053,139.0,36.0,3.2,0.55,11.0
1666,6.4,0.29,0.28,11.1,0.063,103.0,66.0,2.89,0.57,9.0
5141,5.6,0.26,0.26,5.7,0.031,68.0,12.0,3.25,0.38,10.8
2381,5.8,0.13,0.26,5.1,0.039,84.0,19.0,3.36,0.47,9.3
4473,6.6,0.25,0.51,8.0,0.047,128.0,61.0,3.22,0.49,9.2
4558,7.2,0.17,0.41,1.6,0.052,102.0,24.0,3.19,0.49,10.8
2756,7.1,0.36,0.37,4.8,0.019,75.0,39.0,3.08,0.49,12.7
242,7.4,0.28,0.42,19.8,0.066,142.0,53.0,2.96,0.44,9.1
5814,8.5,0.17,0.31,1.0,0.024,78.0,13.0,2.79,0.37,10.1
5604,6.3,0.24,0.29,1.6,0.052,137.0,48.0,3.21,0.5,9.4
808,7.3,0.24,0.34,15.4,0.05,136.0,38.0,3.03,0.42,9.0
5006,6.9,0.18,0.33,1.0,0.054,140.0,24.0,3.42,0.51,10.5
4347,6.5,0.315,0.2,6.6,0.041,117.0,9.0,2.94,0.51,8.8
